id;title;date;link;topic
international_0;Le ministre de la justice américain annonce qu’il n’interviendra dans aucune enquête sur l’élection;2017-3-02T11:10:55;http://www.lemonde.fr/ameriques/article/2017/03/02/le-ministre-de-la-justice-americain-annonce-qu-il-n-interviendra-dans-aucune-enquete-sur-l-election_5088489_3222.html;international
international_1;La génération Erasmus à la rescousse de l’Europe ?;2017-3-02T08:33:54;http://www.lemonde.fr/campus/article/2017/03/02/la-generation-erasmus-a-la-rescousse-de-l-europe_5088465_4401467.html;international
international_2;La question migratoire au cœur de la visite d’Angela Merkel en Tunisie;2017-3-02T08:01:43;http://www.lemonde.fr/afrique/article/2017/03/02/la-question-migratoire-l-un-des-enjeux-de-la-visite-d-angela-merkel-en-tunisie_5088456_3212.html;international
international_3;Donald Trump de nouveau rattrapé par ses liens avec la Russie;2017-3-02T07:24:11;http://www.lemonde.fr/ameriques/article/2017/03/02/donald-trump-de-nouveau-rattrape-par-ses-liens-avec-la-russie_5088441_3222.html;international
international_4;Deux meetings pro-Erdogan annulés en Allemagne;2017-3-02T07:05:53;http://www.lemonde.fr/europe/article/2017/03/02/deux-meetings-pro-erdogan-annules-en-allemagne_5088423_3214.html;international
international_5;« Les Syriens méritent de vivre en démocratie, libres et égaux »;2017-3-02T06:04:38;http://www.lemonde.fr/idees/article/2017/03/02/les-syriens-meritent-de-vivre-en-democratie-libres-et-egaux_5088410_3232.html;international
international_6;« Jean Ping est le cheval de Troie des Gabonais pour se débarrasser d’Ali Bongo »;2017-3-02T05:46:47;http://www.lemonde.fr/afrique/article/2017/03/02/jean-ping-est-le-cheval-de-troie-des-gabonais-pour-se-debarrasser-d-ali-bongo_5088392_3212.html;international
international_7;Al-Qaida confirme la mort d’un de ses chefs en Syrie;2017-3-02T05:44:38;http://www.lemonde.fr/al-qaida/article/2017/03/02/al-qaida-confirme-la-mort-d-un-de-ses-chefs-en-syrie_5088389_1667095.html;international
international_8;« La post-vérité a radicalement transformé les campagnes électorales »;2017-3-02T05:29:36;http://www.lemonde.fr/politique/article/2017/03/02/la-post-verite-a-une-histoire_5088375_823448.html;international
international_9;Mécontente de son image dans le jeu vidéo « Ghost Recon Wildlands », la Bolivie convoque l’ambassadeur de France;2017-3-02T05:18:43;http://www.lemonde.fr/pixels/article/2017/03/02/mecontente-de-son-image-dans-le-jeu-video-ghost-recon-wildlands-la-bolivie-convoque-l-ambassadeur-de-france_5088366_4408996.html;international
international_10;Jdoun, le drôle de mème qui traduit le malaise de la société russe;2017-3-02T04:46:55;http://www.lemonde.fr/pixels/video/2017/03/02/jdoun-le-drole-de-meme-qui-traduit-le-malaise-de-la-societe-russe_5088331_4408996.html;international
international_11;Le « droit à l’oubli » doit être précisé par la justice européenne;2017-3-02T04:43:21;http://www.lemonde.frhttp://sosconso.blog.lemonde.fr/2017/03/02/le-droit-a-loubli-doit-etre-precise-par-la-justice-europeenne/;international
